Reporting Period,Project Number,Legacy Project Number,City
5/30/21,17581,4117-47064,Staten Island
5/30/21,183571,,Staten Island
5/30/21,152704,,Spencerport
5/30/21,12738,4643-32841,Bronxville
5/30/21,52754,4704-59380,Albany
5/30/21,30508,5023-57012,Middletown
5/30/21,2013-538772-Sola,,Smithtown
5/30/21,246731,,Saratoga Springs
5/30/21,18602,4493-49362-GJ,Burnt Hills
5/30/21,126523,,Long Eddy
5/30/21,110433,,Huguenot
5/30/21,2012-457120-SLPR,,Bayville
5/30/21,89535,,Staten Island
5/30/21,2011-156296-SLPR,,Center Moriches
5/30/21,40387,4629-83560,Staten Island
5/30/21,15478,4704-42172,Latham
5/30/21,17781,4704-52647,Cropseyville
5/30/21,312071,,Canandaigua
5/30/21,45957,5245-97551,S OZONE PARK
5/30/21,71489,,Staten Island
5/30/21,117440,,Staten Island
5/30/21,35541,4864-66716,Stony Point
5/30/21,39787,4704-78510,East Meadow
5/30/21,52899,5153-59631,Saugerties
5/30/21,27420,4758-45135-GJ,Latham
5/30/21,46550,4864-98662,Thornwood
5/30/21,32411,4704-58282,Ballston Spa
5/30/21,11803,4669-27975,White Plains
5/30/21,179583,,Cicero
5/30/21,16567,4704-44609,Brewster
5/30/21,15407,5048-41985,Malone
5/30/21,34875,4704-64208,Middletown
5/30/21,187406,,Canandaigua
5/30/21,55478,5251-68342,Hamburg
5/30/21,16429,4704-44458,Highland
5/30/21,34585,5165-63431,Staten Island
5/30/21,53983,5292-63074,Staten Island
5/30/21,15834,4944-43249,Chappaqua
5/30/21,2012-488568-Sola,,Mattituck
5/30/21,15826,4116-43015,Silver Creek
5/30/21,25215,4786-38299,Neversink
5/30/21,185675,,Attica
5/30/21,29634,4704-50666,Ravena
5/30/21,29357,5023-50043,Wappingers Falls
5/30/21,22988,4643-29465,Kingston
5/30/21,37304,4376-70787-GJ,Bellerose
5/30/21,51502,5247-101648,Central Square
5/30/21,53235,4864-61338,Slate Hill
5/30/21,62114,5293-89775,White Plains
5/30/21,15340,4376-43065-GJ,Howard Beach
5/30/21,12413,4643-31366,Carmel
5/30/21,2011-159892-SLPR,,Jamesport
5/30/21,2014-654782-Sola,,Smithtown
5/30/21,56574,4976-70995-GJ,Ransomville
5/30/21,2014-664428-Sola,,East Northport
5/30/21,2014-661468-Sola,,Deer Park
5/30/21,292585,,Oceanside
5/30/21,2011-346667-SLPR,,Patchogue
5/30/21,26486,5104-42553,Garnerville
5/30/21,214007,,ONEONTA
5/30/21,27665,5048-45602,Ballston Spa
5/30/21,112720,,Angola
5/30/21,279677,,Glen Head
5/30/21,50152,4999-51306,Tomkins Cove
5/30/21,31959,5153-56942,Otisville
5/30/21,27739,4704-45769,Waterford
5/30/21,2013-539623-Sola,,Babylon
5/30/21,42462,5247-75471,Ithaca
5/30/21,18941,4533-50770-GJ,Hudson Falls
5/30/21,19420,4704-50895,Cortlandt Manor
5/30/21,2013-540691-Sola,,Smithtown
5/30/21,39881,4704-78473,New City
5/30/21,56786,5297-72239,White Plains
5/30/21,2014-664542-Sola,,Saint James
5/30/21,10349,5293-97077,Chappaqua
5/30/21,26535,4362-42724,Middle Granville
5/30/21,110560,,Fresh Meadows
5/30/21,67489,4373-100946,Pine Bush
5/30/21,2013-539285-Sola,,Ridge
5/30/21,52850,5247-59759-GJ,Freeville
5/30/21,56260,4421-72588,Vermontville
5/30/21,20789,5292-54815,Bronx
5/30/21,13478,4376-35821,Brooklyn
5/30/21,61489,4704-87355,Montgomery
5/30/21,34182,5247-62698,Cortland
5/30/21,2014-639845-Sola,,Nesconset
5/30/21,57337,4704-72386,Schenectady
5/30/21,33233,5171-60320,Staten Island
5/30/21,110996,,Brooklyn
5/30/21,2014-666190-Sola,,Commack
5/30/21,33855,4704-61647,Highland Mills
5/30/21,306775,,Patterson
5/30/21,34518,5023-63325,Highland
5/30/21,57836,4704-75064,Albany
5/30/21,160030,,Macedon
5/30/21,59634,4704-80904,Newburgh
5/30/21,41566,5273-83043,Staten Island
5/30/21,207576,,Spencer
5/30/21,14886,4250-40956-GJ,Yonkers
5/30/21,2014-649668-Sola,,Babylon
5/30/21,261412,,Saugerties
5/30/21,275673,,Brooklyn
5/30/21,24927,5030-37428,Middletown
5/30/21,72364,,Brooklyn
5/30/21,54434,5122-65714-GJ,Loudonville
5/30/21,2012-490488-Sola,,Valley Stream
5/30/21,65362,4704-100709,West Coxsackie
5/30/21,3065,4704-35871,Burnt Hills
5/30/21,32281,5105-58089,Poughkeepsie
5/30/21,49947,5336-88894,Watervliet
5/30/21,29178,5137-49658,Camden
5/30/21,18361,4953-48854,Staten Island
5/30/21,20672,5105-54111,Newburgh
5/30/21,166547,,Monroe
5/30/21,313979,,Baldwin
5/30/21,30724,4116-54854,Sanborn
5/30/21,2014-664509-Sola,,Smithtown
5/30/21,33005,4830-59463,Syracuse
5/30/21,33601,5023-60965,Amsterdam
5/30/21,67380,4533-87713,Porters Corners
5/30/21,14234,4882-38316,Staten Island
5/30/21,56704,4011-71691-GJ,Plattsburgh
5/30/21,2014-649335-Sola,,Lake Grove
5/30/21,80161,,West Hurley
5/30/21,56470,4533-71111,Warrensburg
5/30/21,57027,4704-71858,Saratoga Springs
5/30/21,27429,4953-45029,Staten Island
5/30/21,19507,4704-55213,Amsterdam
5/30/21,13704,4941-36550,Newburgh
5/30/21,162135,,Suffern
5/30/21,17122,5137-45887,Liverpool
5/30/21,29852,4493-52948,Williamsville
5/30/21,58351,4864-77276,Hopewell Junction
5/30/21,34944,4704-64431,Schuylerville
5/30/21,49219,4116-19681,Tonawanda
5/30/21,116033,,Fulton
5/30/21,25386,4941-38944,Wappingers Falls
5/30/21,53968,5023-63059,Buffalo
5/30/21,56767,4704-71245,Scotia
5/30/21,22773,4354-28984,Hunter
5/30/21,37285,5023-70682,Schenectady
5/30/21,19039,4033-50230,Newfield
5/30/21,79275,,Hagaman
5/30/21,315137,,Middletown
5/30/21,51998,5165-57807,Howard Beach
5/30/21,27583,4704-45394,Schenectady
5/30/21,61887,4704-88899,Fonda
5/30/21,183750,,Lockport
5/30/21,38947,5098-77335,Syracuse
5/30/21,72631,,Brooklyn
5/30/21,250934,,Liberty
5/30/21,45548,5297-95605,CROTON ON HUDSON
5/30/21,60208,4704-83000,Marlboro
5/30/21,162249,,Homer
5/30/21,18632,5137-49384,Wallkill
5/30/21,46142,5395-97348,Howard Beach
5/30/21,76302,,Monroe
5/30/21,26115,4704-41522,Schenectady
5/30/21,210393,,Washingtonville
5/30/21,69501,,Troy
5/30/21,158636,,FISHKILL
5/30/21,313069,,Huguenot
5/30/21,257388,,Sayville
5/30/21,33647,4978-62517,Millbrook
5/30/21,12892,4953-33456,Staten Island
5/30/21,261674,,Schodack Landing
5/30/21,43898,4814-90230,Staten Island
5/30/21,2014-658674-Sola,,East Hampton
5/30/21,14863,4941-40518,Staten Island
5/30/21,2013-629153-Sola,,Huntington
5/30/21,82975,,Stony Point
5/30/21,56142,5293-70208,Elmira
5/30/21,21439,4502-55903-GJ,Bronxville
5/30/21,28191,4564-47771,Germantown
5/30/21,49902,4663-35902,Mahopac
5/30/21,2013-535615-Sola,,Stony Brook
5/30/21,46220,5411-97976,Staten Island
5/30/21,117885,,Brooklyn
5/30/21,14914,4994-40682,Wallkill
5/30/21,31430,4354-55502,Mamaroneck
5/30/21,19648,5105-51387,Poughkeepsie
5/30/21,54264,4704-63967,Valatie
5/30/21,17636,4819-47259,Altamont
5/30/21,127550,,Armonk
5/30/21,2012-471571-Sola,,Farmingdale
5/30/21,2014-654778-Sola,,Bellmore
5/30/21,57673,4533-76149,Colton
5/30/21,17354,5137-46453,Spencer
5/30/21,37279,4704-70698,Ballston Spa
5/30/21,36111,4003-065,Hadley
5/30/21,98500,,West Nyack
5/30/21,2013-539883-Sola,,Massapequa
5/30/21,32136,4704-57551,New Windsor
5/30/21,32275,4704-58114,Troy
5/30/21,57787,4590-76365,Horseheads
5/30/21,259533,,Holtsville
5/30/21,14663,5030-39633,Yonkers
5/30/21,14597,4941-39342,Freehold
5/30/21,58671,4611-82065,cazenovia
5/30/21,91313,,Lagrangeville
5/30/21,26260,5104-42515,Highland Mills
5/30/21,283121,,Port Jervis
5/30/21,12438,4643-31457,Middletown
5/30/21,2013-538575-Sola,,Islip Terrace
5/30/21,95463,,bronx
5/30/21,208603,,BROOKLYN
5/30/21,172960,,Pearl River
5/30/21,2014-638541-Sola,,Baldwin
5/30/21,24736,4953-36749,Staten Island
5/30/21,8473,4704-72335,Nassau
5/30/21,20044,5137-53057,Florida
5/30/21,19712,4704-51559,Coxsackie
5/30/21,2014-655623-Sola,,Melville
5/30/21,2014-658680-Sola,,West Babylon
5/30/21,31520,4953-56081,Staten Island
5/30/21,91709,,Saint Johnsville
5/30/21,47684,4978-82651,Marlboro
5/30/21,289267,,Glenmont
5/30/21,25794,4758-40638-GJ,Middleburgh
5/30/21,28129,5166-46925,Brooklyn
5/30/21,19105,4704-50856,Queensbury
5/30/21,38278,4657-77383,Bloomingburg
5/30/21,31641,5156-55187-GJ,Farmingville
5/30/21,56878,4555-76282,Holley
5/30/21,65197,4944-100733,Fresh Meadows
5/30/21,176629,,Spring Valley
5/30/21,33807,5023-61572,Washingtonville
5/30/21,58809,4944-79941,Staten Island
5/30/21,15696,4704-42788,Tivoli
5/30/21,18238,4116-48500,Buffalo
5/30/21,65257,5171-102278,Staten Island
5/30/21,274775,,Orangeburg
5/30/21,21497,4882-56074,Whitestone
5/30/21,161140,,Chittenango
5/30/21,24271,4869-35284,Marcellus
5/30/21,267536,,Suffern
5/30/21,59789,4704-81893,Schenectady
5/30/21,50359,5066-67018,Ithaca
5/30/21,2013-538752-Sola,,North Bellmore
5/30/21,49764,4667-29067,Cazenovia
5/30/21,52556,5023-58868,Rochester
5/30/21,36783,5023-69473,Cortland
5/30/21,52636,4992-59124,WINGDALE
5/30/21,17423,4156-46564,Astoria
5/30/21,34422,4864-63744,Orangeburg
5/30/21,25327,4704-38734,Beacon
5/30/21,53937,5023-63021,Carmel
5/30/21,14671,4493-39656,Byron
5/30/21,2014-640181-Sola,,Lindenhurst
5/30/21,29484,4704-50357,Pine Plains
5/30/21,11921,4726-28686,Williamsville
5/30/21,12748,4758-32899,Wappingers Falls
5/30/21,252283,,Ancram
5/30/21,37072,4704-67371,Fort Plain
5/30/21,255946,,Lockport
5/30/21,2014-638984-Sola,,Islip Terrace
5/30/21,2014-645859-Sola,,Island Park
5/30/21,268013,,Sands Point
5/30/21,44104,4814-90665,Flushing
5/30/21,18201,5142-49233,Hauppauge
5/30/21,27474,4704-45129,Gloversville
5/30/21,2014-646603-Sola,,Kings Park
5/30/21,101739,,Pavilion
5/30/21,66378,4161-20535,Cheektowaga
5/30/21,52641,5105-59130,Newburgh
5/30/21,17553,4704-46996,Middletown
5/30/21,47151,5427-99848,Staten Island
5/30/21,59307,4704-79933,Hopewell Junction
5/30/21,16313,4033-44080,Freeville
5/30/21,2014-643449-Sola,,Centereach
5/30/21,74725,,Attica
5/30/21,58208,5336-76760,Canajoharie
5/30/21,27596,4704-45411,Middletown
5/30/21,37752,4704-71851,Saratoga Springs
5/30/21,129031,,Greenwich
5/30/21,94720,,Middleport
5/30/21,42615,5229-76634-GJ,Honeoye
5/30/21,36256,4882-66550,Staten Island
5/30/21,2014-645892-Sola,,Dix Hills
5/30/21,11462,4562-25722,Lexington
5/30/21,94275,,Marathon
5/30/21,187659,,Hector
5/30/21,69619,,Hartwick
5/30/21,9926,5122-88951,Clifton Park
5/30/21,11236,4149-23479,North Syracuse
5/30/21,37803,4373-72861,Chappaqua
5/30/21,18387,5105-48980,Ossining
5/30/21,2013-539822-Sola,,Laurel
5/30/21,34038,5137-62073,Melrose
5/30/21,313127,,Erin
5/30/21,51550,5400-102365,Staten Island
5/30/21,18381,5156-50197,speonk
5/30/21,186894,,Stillwater
5/30/21,59454,5297-80460,Staten Island
5/30/21,25226,5030-38360,Yonkers
5/30/21,2014-660654-Sola,,Selden
5/30/21,289266,,Poughkeepsie
5/30/21,289277,,Cold Spring
5/30/21,33751,5153-62787,Armonk
5/30/21,52273,5181-58024,Fresh Meadows
5/30/21,2013-533890-Sola,,Lindenhurst
5/30/21,78323,,PATCHOGUE
5/30/21,2013-533426-Sola,,West Babylon
5/30/21,26726,5048-43254,Glenville
5/30/21,79923,,Staten Island
5/30/21,31502,5023-55675,Middletown
5/30/21,27502,4704-45166,Warnerville
5/30/21,26372,5098-42403,Narrowsburg
5/30/21,24339,4116-35488,Ithaca
5/30/21,20191,4033-53505,Ithaca
5/30/21,43051,4944-88855,New Rochelle
5/30/21,2013-538267-Sola,,Southampton
5/30/21,2011-157760-SLPR,,Ocean Beach
5/30/21,2012-456826-Sola,,Farmingville
5/30/21,32653,4745-59455,grand island
5/30/21,2014-650939-Sola,,Smithtown
5/30/21,21498,5023-58091,Yonkers
5/30/21,24763,4953-36800,Staten Island
5/30/21,53273,4354-62997,Mamaroneck
5/30/21,83638,,Staten Island
5/30/21,26011,5104-42458,White Plains
5/30/21,2013-538638-Sola,,East Meadow
5/30/21,194380,,Fairport
5/30/21,53819,5105-62703,Monroe
5/30/21,2013-536827-Sola,,North Babylon
5/30/21,215668,,Brighton
5/30/21,2014-640096-Sola,,Huntington
5/30/21,54106,4704-63415,Hopewell Junction
5/30/21,31101,5105-54114,Beacon
5/30/21,26252,4786-50113,Montgomery
5/30/21,34604,5023-63571,Wappingers Falls
5/30/21,275062,,Blauvelt
5/30/21,37673,4548-72663,Athens
5/30/21,50167,5114-52965,Staten Island
5/30/21,208708,,Honeoye
5/30/21,60294,4704-83307,Scarsdale
5/30/21,6603,4355-47088,Lake Grove
5/30/21,157720,,Fort Edward
5/30/21,2013-538799-Sola,,Commack
5/30/21,18018,5137-47984,Latham
5/30/21,161548,,Woodhull
5/30/21,2012-474549-Sola,,Bethpage
5/30/21,207306,,Westerlo
5/30/21,28651,5122-48947-GJ,Albany
5/30/21,33342,5105-60249,Stony Point
5/30/21,2013-617076-Sola,,Manorville
5/30/21,2013-538627-Sola,,Nesconset
5/30/21,40162,4704-79064,Gardiner
5/30/21,2013-535626-Sola,,Bay Shore
5/30/21,16793,4704-45093,Shokan
5/30/21,206268,,Shrub Oaks
5/30/21,262658,,Lake Success
5/30/21,215572,,Pine Bush
5/30/21,38758,4758-75399,Rhinebeck
5/30/21,188288,,POMONA
5/30/21,55600,4864-68285,Cornwall
5/30/21,209860,,Yonkers
5/30/21,272943,,Bearsville
5/30/21,57640,4976-76652-GJ,Alden
5/30/21,2013-622548-Sola,,Wantagh
5/30/21,49753,4667-28952,Earlville
5/30/21,279206,,RHINECLIFF
5/30/21,55139,4354-76498,Larchmont
5/30/21,219574,,Manlius
5/30/21,2014-663239-Sola,,Miller Place
5/30/21,36727,4704-69298,Wallkill
5/30/21,42996,5274-87695,Stuyvesant
5/30/21,2013-536219-Sola,,Coram
5/30/21,252528,,Ithaca
5/30/21,2014-649271-Sola,,Smithtown
5/30/21,2014-666213-Sola,,Manorville
5/30/21,16728,4662-45057,Ossining
5/30/21,14971,5023-41357,Staten Island
5/30/21,79289,,Tillson
5/30/21,118730,,Lockport
5/30/21,45099,4704-94169,Bedford Hills
5/30/21,21692,4704-56379,New Hampton
5/30/21,13505,4704-35795,Cohoes
5/30/21,241224,,East Bethany
5/30/21,59303,4758-83221,West Hurley
5/30/21,238729,,Newfield
5/30/21,65733,4704-101981,Worcester
5/30/21,13869,4758-37046,Troy
5/30/21,10298,5181-96145,Jamaica
5/30/21,75781,,Staatsburg
5/30/21,29971,4704-52504,Schenectady
5/30/21,82508,,Latham
5/30/21,34046,4663-62323-GJ,Yonkers
5/30/21,6779,4704-54802,Albany
5/30/21,57740,4704-73579,Marlboro
5/30/21,58828,4533-79124,Schenectady
5/30/21,39070,4704-75135,Monroe
5/30/21,2013-538105-Sola,,Sayville
5/30/21,27493,4202-45143,Brooklyn
5/30/21,54307,5171-64098,Brooklyn
5/30/21,46425,4704-98094,Hudson Falls
5/30/21,36447,4704-66685,Saugerties
5/30/21,240014,,New City
5/30/21,250192,,East Nassau
5/30/21,268667,,Ronkonkoma
5/30/21,49908,4864-36933,Slate Hill
5/30/21,2013-538588-Sola,,Brentwood
5/30/21,301398,,Williamson
5/30/21,55252,4116-67075,Hamburg
5/30/21,311501,,Depew
5/30/21,29166,4011-49555-GJ,PLATTSBURGH
5/30/21,76362,,Port Ewen
5/30/21,263529,,Orchard Park
5/30/21,315937,,Newburgh
5/30/21,21888,4116-56957,Fredonia
5/30/21,78719,,Garrison
5/30/21,50437,4947-70322,Geneva
5/30/21,2013-538856-Sola,,Great Neck
5/30/21,261551,,Smithtown
5/30/21,77395,,White Plains
5/30/21,81393,,Carmel
5/30/21,2014-643665-Sola,,West Islip
5/30/21,30122,4704-51900,Pleasantville
5/30/21,35493,4704-65658,Millerton
5/30/21,10443,5336-98851,Westerlo
5/30/21,36217,5023-67913,Parish
5/30/21,56787,5320-71523,Middletown
5/30/21,44812,5347-93077,Yonkers
5/30/21,16960,5024-45510,Buffalo
5/30/21,158320,,THIELLS
5/30/21,275815,,Harriman
5/30/21,62077,5148-92766,babylon
5/30/21,208594,,BROOKLYN
5/30/21,91266,,Staten Island
5/30/21,41944,4704-83707,Mahopac
5/30/21,277120,,Stony Point
5/30/21,88612,,Dolgeville
5/30/21,52995,5105-60004,Monroe
5/30/21,2011-390951-SLPR,,New Hyde Park
5/30/21,66928,4473-34889,Gardiner
5/30/21,31022,5292-55012,Staten Island
5/30/21,264835,,East Patchogue
5/30/21,2014-663286-Sola,,Levittown
5/30/21,15611,5023-42760,Carmel
5/30/21,17659,5023-52041,Auburn
5/30/21,55564,4736-73040-GJ,Middletown
5/30/21,35908,4585-67027-GJ,Olivebridge
5/30/21,53243,5153-60882,Monroe
5/30/21,79582,,Gardiner
5/30/21,27668,5105-45605,Highland Mills
5/30/21,210993,,Altamont
5/30/21,65383,5165-101715,Staten Island
5/30/21,47433,4116-102023,Oakfield
5/30/21,257357,,Saugerties
5/30/21,281281,,Plainview
5/30/21,58871,4864-79031,Washingtonville
5/30/21,2013-539573-Sola,,Elmont
5/30/21,42135,5293-84150,Red Creek
5/30/21,36831,4704-69602,Brewster
5/30/21,10122,5247-93148,Enfield
5/30/21,23326,4404-31362,Bronx
5/30/21,74782,,Staten Island
5/30/21,22842,4758-28379,Ballston Spa
5/30/21,35393,4758-66363-GJ,Fishkill
5/30/21,76253,,Staten Island
5/30/21,27320,5105-44798,New City
5/30/21,31573,4704-56049,Altamont
5/30/21,247005,,Jericho
5/30/21,26738,4786-43241,Napanoch
5/30/21,127767,,Scarsdale
5/30/21,42253,5098-83936,Staten Island
5/30/21,65308,4976-102424,Falconer
5/30/21,204461,,Cambridge
5/30/21,6993,4704-56579,Walden
5/30/21,41850,4704-83266,Campbell Hall
5/30/21,25816,4473-40737,Gardiner
5/30/21,29450,5023-50330,New Rochelle
5/30/21,19650,5105-51394,Dobbs Ferry
5/30/21,2014-644887-Sola,,Brentwood
5/30/21,309146,,Southold
5/30/21,57257,5352-72777,Auburn
5/30/21,59426,4116-88608,East Greenbush
5/30/21,214204,,Afton
5/30/21,34939,4611-64583,New HArtford
5/30/21,33215,4868-60148,Flushing
5/30/21,37648,5023-71734,New Rochelle
5/30/21,153454,,Ballston Spa
5/30/21,64586,4633-98968,Hopewell Junction
5/30/21,166979,,Hamburg
5/30/21,91633,,Altamont
5/30/21,52647,4758-59035,Rhinebeck
5/30/21,52270,5023-58211,Yonkers
5/30/21,22590,4669-27066,Gardiner
5/30/21,32706,4635-59344-GJ,Stafford
5/30/21,66728,4147-23439,Livingston Manor
5/30/21,39631,4548-79761,East Nassau
5/30/21,20310,5105-52835,Newburgh
5/30/21,14648,4247-39581,Attica
5/30/21,42971,5125-88002,Rush
5/30/21,89464,,queens
5/30/21,118857,,Cooperstown
5/30/21,28591,5023-48688,Staten Island
5/30/21,14974,4704-40859,White Plains
5/30/21,298844,,Hurley
5/30/21,26347,4953-42081,Staten Island
5/30/21,53746,5023-62405,Poughkeepsie
5/30/21,49837,4025-32904,Honeoye Falls
5/30/21,46153,5273-97596,Bronx
5/30/21,18413,5137-48996,Orangetown
5/30/21,17920,5105-47969,Congers
5/30/21,31834,4758-56499-GJ,Gansevoort
5/30/21,41386,4704-82635,Otisville
5/30/21,9659,4882-85891,Fresh Meadows
5/30/21,2014-649258-Sola,,Smithtown
5/30/21,310280,,New Paltz
5/30/21,61487,4809-87103,White Plains
5/30/21,290923,,Patchogue
5/30/21,2014-639458-Sola,,Hauppauge
5/30/21,2013-636539-Sola,,Farmingville
5/30/21,3049,4882-36526,Brooklyn
5/30/21,129376,,Newfield
5/30/21,18084,4704-52587,Gansevoort
5/30/21,28415,5137-47669,East Greenbush
5/30/21,55040,4704-66050,Middletown
5/30/21,49785,5247-88036,Rock Stream
5/30/21,2013-542523-Sola,,Lake Grove
5/30/21,1754,4743-29803,Airmont
5/30/21,2011-157004-SLPR,,Sayville
5/30/21,274762,,Pomona
5/30/21,18377,4704-48834,Albany
5/30/21,25640,4944-39997,Yonkers
5/30/21,30130,4704-51906,Albany
5/30/21,43940,4533-90688,Nassau
5/30/21,28355,5023-47582,Staten Island
5/30/21,14278,4786-38279,Highland Mills
5/30/21,55837,5322-72808,Hudson
5/30/21,278806,,Monroe
5/30/21,31790,4704-56336,Albany
5/30/21,61556,5297-87676,Springfield Gardens
5/30/21,282260,,Hyde Park
5/30/21,13777,4704-36708,Poughkeepsie
5/30/21,37743,4260-72145,Alexandria Bay
5/30/21,30383,5023-53238,Staten Island
5/30/21,13040,4953-34007,Staten Island
5/30/21,34854,4373-65999,BRIARCLIFF MANOR
5/30/21,2014-655606-Sola,,Lindenhurst
5/30/21,24182,5030-34963,New Rochelle
5/30/21,2014-661363-Sola,,Islip Terrace
5/30/21,73864,,Staten Island
5/30/21,25110,4953-38043,Staten Island
5/30/21,53880,4704-62850,Highland
5/30/21,25044,5023-37974,Staten Island
5/30/21,2014-666196-Sola,,Bayport
5/30/21,188703,,Warwick
5/30/21,59143,5098-80666,East Fishkill Town
5/30/21,2014-648337-Sola,,Dix Hills
5/30/21,25995,4704-41243,Latham
5/30/21,147063,,Jay
5/30/21,24537,4941-36395,Staten Island
5/30/21,76724,,Rochester
5/30/21,93374,,College Point
5/30/21,56860,5023-71572,Geneseo
5/30/21,215173,,Oriskany
5/30/21,15389,4555-41958,Mendon
5/30/21,52448,5114-60311,Staten Island
5/30/21,15221,4704-41547,Latham
5/30/21,25951,5023-42386,Monsey
5/30/21,65931,4704-102490,Utica
5/30/21,277988,,Greenvale
5/30/21,77926,,Staatsburg
5/30/21,2014-655281-Sola,,Wheatley Heights
5/30/21,81236,,Monroe
5/30/21,70497,,Staten Island
5/30/21,189037,,MONROE
5/30/21,18858,4704-54875,Clifton Park
5/30/21,67759,,Howard Beach
5/30/21,15312,4882-42544,Staten Island
5/30/21,217712,,MIDDLETOWN
5/30/21,221478,,Clarence
5/30/21,21963,5023-57480,Poughkeepsie
5/30/21,27695,4704-45676,Queensbury
5/30/21,28755,4978-48942,Staten Island
5/30/21,15643,5105-42839,Stony Point
5/30/21,211430,,BROOKLYN
5/30/21,2011-158826-SLPR,,North Bellmore
5/30/21,16239,4708-44468-GJ,Ghent
5/30/21,213121,,Bronx
5/30/21,274749,,Brooklyn
5/30/21,30491,4033-52415-GJ,Ithaca
5/30/21,19678,4160-53315,East Northport
5/30/21,2013-609618-Sola,,Merrick
5/30/21,68463,,Cortlandt
5/30/21,253625,,Wappingers Falls
5/30/21,240888,,Van Etten
5/30/21,26468,4376-42916-GJ,Fresh Meadows
5/30/21,2013-636549-Sola,,Dix Hills
5/30/21,56080,5023-69465,Phoenix
5/30/21,406,4116-21258,Amherst
5/30/21,24846,4704-37192,Cohoes
5/30/21,1371,4743-29428,Blauvelt
5/30/21,53437,5138-63278,Remsen
5/30/21,2013-632944-Sola,,Amagansett
5/30/21,29062,5023-49400,Poughquag
5/30/21,53939,5023-63022,Buffalo
5/30/21,17974,4376-48206,Long Beach
5/30/21,215689,,Honeoye Falls
5/30/21,2014-660687-Sola,,East Patchogue
5/30/21,2014-663831-Sola,,Lindenhurst
5/30/21,2014-655468-Sola,,Deer Park
5/30/21,2014-658985-Sola,,East Quogue
5/30/21,83694,,Queens
5/30/21,286235,,Walden
5/30/21,38617,4533-76161,Fort Edward
5/30/21,18625,4704-54737,Kinderhook
5/30/21,82560,,Queens
5/30/21,25212,4953-38332,Staten Island
5/30/21,34174,5023-62513,Oakland Gardens
5/30/21,61366,4548-87193,Wynantskill
5/30/21,50045,4116-42717,East Amherst
5/30/21,2013-542479-Sola,,Manorville
5/30/21,119335,,Cortland
5/30/21,16641,5105-44799,Suffern
5/30/21,27425,4704-45012,Schenectady
5/30/21,2011-160164-SLPR,,Bridgehampton
5/30/21,58007,4604-79870,Albany
5/30/21,36620,5023-66939,New Rochelle
5/30/21,2011-157051-SLPR,,Peconic
5/30/21,184520,,Canandaigua
5/30/21,58493,5138-77967,Yonkers
5/30/21,81501,,Syracuse
5/30/21,31371,4533-55414,Brant Lake
5/30/21,50290,4697-63492,Oswego
5/30/21,51982,5105-58199,Cortlandt Manor
5/30/21,36030,5293-67379-GJ,Canastota
5/30/21,16870,4202-45253,Astoria
5/30/21,117207,,Cortlandt Manor
5/30/21,65073,5411-100904,Brooklyn
5/30/21,42349,4124-058,Webster
5/30/21,12306,4669-30580,White Plains
5/30/21,61088,4533-86275,Keene Valley
5/30/21,223839,,Cortlandt
5/30/21,36665,4590-69442,Barton
5/30/21,46502,4533-99866,Scotia
5/30/21,95282,,Goshen
5/30/21,2013-529192-Sola,,Amagansett
5/30/21,23898,4706-33830,Fort Plain
5/30/21,264092,,Stony Brook
5/30/21,2013-624550-Sola,,Water Mill
5/30/21,32691,4376-58983,Brooklyn
5/30/21,20870,5165-55042,Staten Island
5/30/21,156639,,Hopewell Junction
5/30/21,15118,4864-42900,Monroe
5/30/21,36412,4758-69357-GJ,Pine Bush
5/30/21,55596,4354-73082,Larchmont
5/30/21,32067,4944-57830,Stony Point
5/30/21,257596,,Manlius
5/30/21,20200,4564-53265-GJ,Troy
5/30/21,51555,5122-102491,Delmar
5/30/21,36239,4704-67929,Ossining
5/30/21,95090,,Pavilion
5/30/21,2014-643372-Sola,,Port Washington
5/30/21,308215,,New Windsor
5/30/21,300331,,Vernon Center
5/30/21,72455,,Germantown
5/30/21,49776,5247-88389,Dryden
5/30/21,2011-378608-SLPR,,Miller Place
5/30/21,19997,4354-52654-GJ,Cortlandt Manor
5/30/21,47729,4633-100894,Hopewell Junction
5/30/21,17626,4116-47062,Lee Center
5/30/21,52982,4704-59870,Westtown
5/30/21,251743,,Warwick
5/30/21,33177,5171-59855,Staten Island
5/30/21,7322,4704-60791,Altamont
5/30/21,55436,4704-67547,Argyle
5/30/21,50058,4830-43294,Camden
5/30/21,2014-666007-Sola,,Westbury
5/30/21,103670,,Rexford
5/30/21,24311,4941-38126,Orangeburg
5/30/21,28718,5023-48913,Wappingers Falls
5/30/21,266167,,Dix Hills
5/30/21,48323,4704-83247,Hurley
5/30/21,40541,4882-72108,Brooklyn
5/30/21,66561,4030-20435,Hyde Park
5/30/21,32893,5138-60337,Livingston
5/30/21,186182,,Yorktown Heights
5/30/21,312809,,Monroe
5/30/21,40649,4704-80423,Poughkeepsie
5/30/21,26534,4704-42696,Kingston
5/30/21,16438,4354-46373,Yonkers
5/30/21,90966,,Brockport
5/30/21,19717,4704-52534,Chester
5/30/21,29299,5140-50407,Massapequa Park
5/30/21,22782,4643-28424,Staatsburg
5/30/21,19132,4260-51264,Redwood
5/30/21,209066,,New Rochelle
5/30/21,30332,4953-52073,Staten Island
