Reporting Period,Project Number,Legacy Project Number,City
6/30/21,267,01001-00008,Carthage
6/30/21,122667,,White Plains
6/30/21,238437,,Brooklyn
6/30/21,92213,,Oceanside
6/30/21,280423,,Queens
6/30/21,62725,4944-94858,Levittown
6/30/21,278,01001-00020,Watertown
6/30/21,63712,4944-96208,New Hyde Park
6/30/21,271589,,Brooklyn
6/30/21,290780,,Grand Island
6/30/21,291494,,Brooklyn
6/30/21,271707,,Brooklyn
6/30/21,306269,,Staten Island
6/30/21,78747,,Brooklyn
6/30/21,248782,,Bellmore
6/30/21,277990,,Oceanside
6/30/21,61611,4944-89442,Levittown
6/30/21,275955,,Bronx
6/30/21,255455,,Peekskill
6/30/21,72361,,Unadilla
6/30/21,301785,,Queens
6/30/21,64954,5142-0173-Financing,Farmingdale
6/30/21,238548,,Rosedale
6/30/21,256537,,Brooklyn
6/30/21,255624,,Brooklyn
6/30/21,2629,2087,Albany
6/30/21,59321,4944-81172,Wading River
6/30/21,291386,,Jamaica
6/30/21,267404,,Brooklyn
6/30/21,161976,,Jamaica
6/30/21,286226,,Bronx
6/30/21,181326,,Queens
6/30/21,241287,,Queens
6/30/21,41068,4704-81520,Mount Sinai
6/30/21,206312,,Hewlett
6/30/21,54222,5098-63725,Massapequa
6/30/21,43845,4704-90459,Island Park
6/30/21,8714,5159-78697,Huntington Station
6/30/21,8340,5159-72034,Patchogue
6/30/21,7859,5159-67228,Lake Grove
6/30/21,152503,,New Hyde Park
6/30/21,112912,,BEACON
6/30/21,297938,,Brooklyn
6/30/21,177759,,East Aurora
6/30/21,264514,,Jamaica
6/30/21,304904,,Ossining
6/30/21,46620,4704-81254,Southold
6/30/21,214995,,East Elmhurst
6/30/21,40873,4704-81385,Melville
6/30/21,263687,,Queens
6/30/21,240720,,East Meadow
6/30/21,63543,4704-94730,Schenectady
6/30/21,250905,,Westbury
6/30/21,251706,,Queens
6/30/21,49983,5159-90328,Hempstead
6/30/21,187373,,Commack
6/30/21,265299,,Staten Island
6/30/21,126318,,North Tarrytown
6/30/21,290931,,Staten Island
6/30/21,157082,,Freedom
6/30/21,175433,,Brooklyn
6/30/21,37734,4704-72418,Inwood
6/30/21,110476,,Brooklyn
6/30/21,60915,4704-85586,Amsterdam
6/30/21,216873,,Queens
6/30/21,48553,4355-912,Deer Park
6/30/21,273492,,Brooklyn
6/30/21,258361,,Queens
6/30/21,178829,,Lynbrook
6/30/21,220749,,Pelham
6/30/21,7546,4704-63641,Levittown
6/30/21,45929,5138-96806,Highland
6/30/21,309852,,Brooklyn
6/30/21,61130,5137-87503,Port Jefferson Station
6/30/21,51161,5194-96595-GJ,Deer Park
6/30/21,159538,,Holtsville
6/30/21,95203,,Staten Island
6/30/21,280029,,Staten Island
6/30/21,269379,,Queens
6/30/21,47472,4704-82281,Shirley
6/30/21,163702,,Massapequa
6/30/21,296786,,Peekskill
6/30/21,60726,5153-84919,Commack
6/30/21,174543,,BROOKLYN
6/30/21,156140,,Massapequa
6/30/21,45782,4704-96316,Patchogue
6/30/21,297827,,Brooklyn
6/30/21,43982,4704-90916,Shirley
6/30/21,68821,,Mount Vernon
6/30/21,161802,,Babylon
6/30/21,191227,,Port Chester
6/30/21,143490,,Lockport
6/30/21,161234,,Brooklyn
6/30/21,312721,,Levittown
6/30/21,260044,,Brooklyn
6/30/21,274369,,Brooklyn
6/30/21,68868,,N Babylon
6/30/21,37061,4704-70257,Levittown
6/30/21,164651,,Flushing
6/30/21,220031,,Brooklyn
6/30/21,64330,5293-0025-Financing,Levittown
6/30/21,41102,4704-81525,Bellmore
6/30/21,159757,,Queens
6/30/21,185168,,Brooklyn
6/30/21,257714,,Greenlawn
6/30/21,248963,,Southampton
6/30/21,277329,,Staten Island
6/30/21,287341,,New Rochelle
6/30/21,221123,,Lafayette
6/30/21,275771,,Lindenhurst
6/30/21,70932,,CENTER MORICHES
6/30/21,255762,,Bronx
6/30/21,165095,,Bethpage
6/30/21,232772,,Jamaica
6/30/21,57479,4944-75346,Bay Shore
6/30/21,191376,,Mineola
6/30/21,73951,,Newburgh
6/30/21,41340,4704-82374,Elmont
6/30/21,309213,,Massapequa
6/30/21,292167,,Wyandanch
6/30/21,9196,5159-84192,New Hyde Park
6/30/21,216224,,Hicksville
6/30/21,212095,,Queens
6/30/21,125993,,Queens
6/30/21,213361,,Yonkers
6/30/21,291940,,Mattituck
6/30/21,44599,5137-92669,Wappingers Falls
6/30/21,35396,4704-65400,Patchogue
